RESULTS (TIME)

a	b	c	R	SAT (s)	Program (s)
---------------------------
1	-1	1	14	0	0
1	-1	2	43	0	0.01
1	-1	3	94	0.01	0.03
1	-1	4	173	0.01	0.05
1	-1	5	286	0.01	0.08
1	-1	6	439	0.03	0.15
1	-1	7	638	0.05	0.27
1	-1	8	889	0.09	0.47
1	-1	9	1198	0.16	0.79
1	-1	10	1571	0.32	1.33
1	-1	11	2014	0.53	2.1
1	-1	12	2533	0.87	3.3
1	-1	13	3134	1.43	5
1	-1	14	3823	2.31	7.51
1	-1	15	4606	3.42	10.79
2	-2	1	14	0	0
2	-2	2	14	0	0.01
2	-2	3	61	0.01	0.02
2	-2	4	43	0	0.01
2	-2	5	181	0.03	0.07
2	-2	6	94	0.01	0.03
2	-2	7	428	0.04	0.16
2	-2	8	173	0.01	0.06
2	-2	9	856	0.1	0.45
2	-2	10	286	0.01	0.08
2	-2	11	1508	0.24	1.13
2	-2	12	439	0.03	0.15
2	-2	13	2432	0.9	3.1
2	-2	14	638	0.06	0.28
2	-2	15	3676	1.63	6.24
3	-3	1	27	0	0.01
3	-3	2	31	0	0.01
3	-3	3	14	0	0
3	-3	4	109	0.01	0.03
3	-3	5	186	0.03	0.07
3	-3	6	43	0	0.01
3	-3	7	442	0.05	0.17
3	-3	8	633	0.09	0.31
3	-3	9	94	0.01	0.03
3	-3	10	1171	0.21	0.8
3	-3	11	1530	0.35	1.28
3	-3	12	173	0.01	0.06
3	-3	13	2458	0.74	2.93
3	-3	14	3039	1.31	4.61
3	-3	15	286	0.01	0.08
4	-4	1	64	0	0.02
4	-4	2	14	0	0
4	-4	3	73	0	0.02
4	-4	4	14	0	0
4	-4	5	180	0.02	0.06
4	-4	6	61	0.01	0.02
4	-4	7	456	0.06	0.19
4	-4	8	43	0	0.01
4	-4	9	892	0.09	0.46
4	-4	10	181	0.03	0.07
4	-4	11	1552	0.29	1.26
4	-4	12	94	0.01	0.03
4	-4	13	2484	0.74	2.98
4	-4	14	428	0.04	0.16
4	-4	15	3736	1.86	6.71
5	-5	1	125	0.01	0.04
5	-5	2	125	0.01	0.03
5	-5	3	125	0.01	0.03
5	-5	4	141	0.01	0.04
5	-5	5	14	0	0
5	-5	6	300	0.04	0.11
5	-5	7	470	0.04	0.18
5	-5	8	665	0.06	0.3
5	-5	9	910	0.13	0.51
5	-5	10	43	0	0.01
5	-5	11	1574	0.38	1.39
5	-5	12	2005	0.5	2.06
5	-5	13	2510	0.98	3.34
5	-5	14	3095	1.37	4.88
5	-5	15	94	0.01	0.03
6	-6	1	216	0.01	0.07
6	-6	2	27	0	0.01
6	-6	3	14	0	0
6	-6	4	31	0	0.01
6	-6	5	241	0.01	0.07
6	-6	6	14	0	0
6	-6	7	462	0.07	0.21
6	-6	8	109	0.01	0.04
6	-6	9	61	0.01	0.02
6	-6	10	186	0.02	0.07
6	-6	11	1596	0.32	1.33
6	-6	12	43	0	0.01
6	-6	13	2536	0.86	3.24
6	-6	14	442	0.05	0.17
6	-6	15	181	0.03	0.07
7	-7	1	343	0.01	0.11
7	-7	2	343	0.01	0.12
7	-7	3	343	0.02	0.12
7	-7	4	343	0.02	0.12
7	-7	5	343	0.02	0.12
7	-7	6	379	0.04	0.15
7	-7	7	14	0	0
7	-7	8	644	0.11	0.32
7	-7	9	896	0.11	0.49
7	-7	10	1190	0.21	0.84
7	-7	11	1618	0.35	1.42
7	-7	12	2053	0.49	2.09
7	-7	13	2562	0.79	3.19
7	-7	14	43	0	0.01
7	-7	15	3826	2.12	7.34
8	-8	1	512	0.03	0.22
8	-8	2	64	0	0.02
8	-8	3	512	0.02	0.19
8	-8	4	14	0	0
8	-8	5	512	0.03	0.19
8	-8	6	73	0	0.02
8	-8	7	561	0.04	0.22
8	-8	8	14	0	0
8	-8	9	896	0.26	0.63
8	-8	10	180	0.02	0.06
8	-8	11	1584	0.47	1.49
8	-8	12	61	0.01	0.02
8	-8	13	2588	0.89	3.34
8	-8	14	456	0.06	0.19
8	-8	15	3856	1.83	7.07
9	-9	1	729	0.05	0.38
9	-9	2	729	0.05	0.37
9	-9	3	27	0	0.01
9	-9	4	729	0.05	0.34
9	-9	5	729	0.06	0.35
9	-9	6	31	0	0.01
9	-9	7	729	0.07	0.35
9	-9	8	793	0.08	0.4
9	-9	9	14	0	0.01
9	-9	10	1206	0.21	0.83
9	-9	11	1575	0.45	1.46
9	-9	12	109	0.02	0.04
9	-9	13	2574	0.92	3.44
9	-9	14	3207	1.41	5.08
9	-9	15	186	0.02	0.06
10	-10	1	1000	0.08	0.66
10	-10	2	125	0.01	0.04
10	-10	3	1000	0.08	0.63
10	-10	4	125	0.01	0.04
10	-10	5	14	0	0
10	-10	6	125	0.01	0.04
10	-10	7	1000	0.08	0.58
10	-10	8	141	0.01	0.04
10	-10	9	1081	0.13	0.67
10	-10	10	14	0	0.01
10	-10	11	1580	0.38	1.37
10	-10	12	300	0.04	0.11
10	-10	13	2530	0.82	3.17
10	-10	14	470	0.04	0.18
10	-10	15	61	0.01	0.02
11	-11	1	1331	0.17	1.13
11	-11	2	1331	0.16	1.1
11	-11	3	1331	0.17	1.07
11	-11	4	1331	0.17	1.07
11	-11	5	1331	0.16	1.02
11	-11	6	1331	0.19	1.03
11	-11	7	1331	0.17	0.99
11	-11	8	1331	0.19	1.01
11	-11	9	1331	0.19	0.96
11	-11	10	1431	0.26	1.13
11	-11	11	14	0	0.01
11	-11	12	2024	0.51	2.1
11	-11	13	2541	0.92	3.37
11	-11	14	3113	1.14	4.57
11	-11	15	3795	1.86	6.88
12	-12	1	1728	0.26	1.8
12	-12	2	216	0.01	0.07
12	-12	3	64	0	0.02
12	-12	4	27	0	0.01
12	-12	5	1728	0.29	1.65
12	-12	6	14	0	0
12	-12	7	1728	0.26	1.55
12	-12	8	31	0	0.01
12	-12	9	73	0	0.01
12	-12	10	241	0.01	0.08
12	-12	11	1849	0.39	1.76
12	-12	12	14	0	0.01
12	-12	13	2544	0.93	3.32
12	-12	14	462	0.07	0.2
12	-12	15	180	0.02	0.06
13	-13	1	2197	0.49	2.83
13	-13	2	2197	0.47	2.73
13	-13	3	2197	0.48	2.69
13	-13	4	2197	0.5	2.66
13	-13	5	2197	0.47	2.57
13	-13	6	2197	0.44	2.53
13	-13	7	2197	0.46	2.54
13	-13	8	2197	0.71	4.09
13	-13	9	2197	0.53	2.5
13	-13	10	2197	0.48	2.4
13	-13	11	2197	0.4	2.26
13	-13	12	2341	0.67	2.8
13	-13	13	14	0	0
13	-13	14	3146	1.43	5.15
13	-13	15	3835	1.86	7.23
14	-14	1	2744	0.93	4.43
14	-14	2	343	0.01	0.12
14	-14	3	2744	0.85	4.21
14	-14	4	343	0.01	0.12
14	-14	5	2744	0.78	3.98
14	-14	6	343	0.02	0.12
14	-14	7	14	0	0
14	-14	8	343	0.02	0.12
14	-14	9	2744	0.81	3.76
14	-14	10	343	0.02	0.12
14	-14	11	2744	0.8	3.7
14	-14	12	379	0.04	0.15
14	-14	13	2913	0.98	4.22
14	-14	14	14	0	0
14	-14	15	3836	1.86	7.01
15	-15	1	3375	1.35	6.56
15	-15	2	3375	1.34	6.37
15	-15	3	125	0	0.03
15	-15	4	3375	1.29	6.31
15	-15	5	27	0	0.01
15	-15	6	125	0.01	0.04
15	-15	7	3375	1.21	5.86
15	-15	8	3375	1.23	5.8
15	-15	9	125	0.01	0.04
15	-15	10	31	0	0.01
15	-15	11	3375	1.25	5.55
15	-15	12	141	0.01	0.04
15	-15	13	3375	1.2	5.38
15	-15	14	3571	1.33	6.16
15	-15	15	14	0	0
